sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 08, 2024 18:02:03

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u1_my_bram_ip_blue:my_bram_ip                            	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u2_my_bram_ip_blue:my_bram_ip                            	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u3_my_bram_ip_blue:my_bram_ip                            	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u4_my_bram_ip_blue:my_bram_ip                            	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u_asyn_fifo:asyn_fifo                                    	     103(0)	      28(0)	      42(0)	      89(0)	     0(0)	    11(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_567bbcdf972041248a4b56f10a3b95b9_renamed_due_excessive_length_10	     103(4)	      28(0)	      42(0)	      89(0)	     0(0)	    11(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_567bbcdf972041248a4b56f10a3b95b9(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=8192,RD_DEPTH=8192,WDATA_WIDTH=11,RDATA_WIDTH=11,WADDR_WIDTH=13,RADDR_WIDTH=13,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	   11(11)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_567bbcdf972041248a4b56f10a3b95b9_renamed_due_excessive_length_11	     99(99)	      28(0)	     42(42)	     83(31)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_567bbcdf972041248a4b56f10a3b95b9(WIDTH=14)	       0(0)	       0(0)	       0(0)	     13(13)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_567bbcdf972041248a4b56f10a3b95b9(STAGE=2,WIDTH=14)	       0(0)	     14(14)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=14)	       0(0)	       0(0)	       0(0)	      13(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=13)	       0(0)	       0(0)	       0(0)	      12(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_567bbcdf972041248a4b56f10a3b95b9(WIDTH=14)	       0(0)	       0(0)	       0(0)	     13(13)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_567bbcdf972041248a4b56f10a3b95b9(STAGE=2,WIDTH=14)	       0(0)	     14(14)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=14)	       0(0)	       0(0)	       0(0)	      13(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=13)	       0(0)	       0(0)	       0(0)	      12(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                 +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_567bbcdf972041248a4b56f10a3b95b9(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl(C_ID_LEN=4,C_RD_END_ADDR=3686400,C_W_WIDTH=32,C_R_WIDTH=32)	   320(166)	      42(2)	     98(24)	    202(81)	     0(0)	    14(0)	     0(0)	
  +Gen_FIFO_W32.u_W0_FIFO_32:W0_FIFO_32                     	      77(0)	      20(0)	      43(0)	      60(0)	     0(0)	     8(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_8f4a0410a9734101bcd9f40726041cb5_renamed_due_excessive_length_12	      77(4)	      20(0)	      43(0)	      60(0)	     0(0)	     8(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_8f4a0410a9734101bcd9f40726041cb5(MODE="FWFT",WR_DEPTH=2048,WDATA_WIDTH=32,RDATA_WIDTH=128,WADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     8(8)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_8f4a0410a9734101bcd9f40726041cb5_renamed_due_excessive_length_13	     73(73)	      20(0)	     43(43)	     60(24)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_8f4a0410a9734101bcd9f40726041cb5(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_8f4a0410a9734101bcd9f40726041cb5(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_8f4a0410a9734101bcd9f40726041cb5(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_8f4a0410a9734101bcd9f40726041cb5(STAGE=3,WIDTH=12)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_8f4a0410a9734101bcd9f40726041cb5(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +Gen_RFIFO_32.u_R0_FIFO_32:R0_FIFO_32                     	      77(0)	      20(0)	      31(0)	      61(0)	     0(0)	     6(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_68110a1dc4f14fed96e8178b3ae9acd4_renamed_due_excessive_length_14	      77(4)	      20(0)	      31(0)	      61(0)	     0(0)	     6(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_68110a1dc4f14fed96e8178b3ae9acd4(FAMILY="TITANIUM",MODE="FWFT",RD_DEPTH=2048,WDATA_WIDTH=128,RDATA_WIDTH=32,RADDR_WIDTH=11,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     6(6)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_68110a1dc4f14fed96e8178b3ae9acd4_renamed_due_excessive_length_15	     73(73)	      20(0)	     31(31)	     61(25)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_68110a1dc4f14fed96e8178b3ae9acd4(STAGE=3,WIDTH=12)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_68110a1dc4f14fed96e8178b3ae9acd4(STAGE=3,WIDTH=10)	       0(0)	     10(10)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_68110a1dc4f14fed96e8178b3ae9acd4(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +u_lcd_driver:lcd_driver                                   	     78(78)	       0(0)	     37(37)	   222(222)	     0(0)	     0(0)	     0(0)	
 +u_rgb2dvi:rgb2dvi(ENABLE_OSERDES=0)                       	      45(0)	       0(0)	      81(0)	      97(0)	     0(0)	     0(0)	     0(0)	
  +enc_0:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     40(40)	     0(0)	     0(0)	     0(0)	
  +enc_1:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     26(26)	     0(0)	     0(0)	     0(0)	
  +enc_2:tmds_channel                                       	     15(15)	       0(0)	     27(27)	     31(31)	     0(0)	     0(0)	     0(0)	
