sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 08, 2024 18:02:03

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +fifo_wr:streamfifocc64_fbd3d233390c485cb3263c0efc0a7981(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     53(44)	     0(0)	     8(8)	     0(0)	
       +popToPushGray_buffercc:buffercc_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_fbd3d233390c485cb3263c0efc0a7981(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     45(31)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_fbd3d233390c485cb3263c0efc0a7981_renamed_due_excessive_length_1	      50(0)	      14(0)	      35(0)	      76(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_fbd3d233390c485cb3263c0efc0a7981(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     33(33)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_fbd3d233390c485cb3263c0efc0a7981(FAMILY="TITANIUM",SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2)	     50(50)	      14(0)	     35(35)	     43(19)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_fbd3d233390c485cb3263c0efc0a7981(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_fbd3d233390c485cb3263c0efc0a7981(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_fbd3d233390c485cb3263c0efc0a7981(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_fbd3d233390c485cb3263c0efc0a7981(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_fbd3d233390c485cb3263c0efc0a7981(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_fbd3d233390c485cb3263c0efc0a7981(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     49(42)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_fbd3d233390c485cb3263c0efc0a7981(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     42(39)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_fbd3d233390c485cb3263c0efc0a7981	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_fbd3d233390c485cb3263c0efc0a7981	 1146(1146)	   146(146)	   103(103)	   881(877)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_fbd3d233390c485cb3263c0efc0a7981(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	       4(4)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_fbd3d233390c485cb3263c0efc0a7981(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_fbd3d233390c485cb3263c0efc0a7981(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_fbd3d233390c485cb3263c0efc0a7981(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_fbd3d233390c485cb3263c0efc0a7981 	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	     40(40)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl:i2c_timing_ctrl(CLK_FREQ=24000000,I2C_FREQ=50000)	     64(64)	       0(0)	     41(41)	   408(408)	     0(0)	     0(0)	     0(0)	
 +u_i2c_timing_ctrl_16reg_16bit:i2c_timing_ctrl_reg16_dat16(CLK_FREQ=96000000,I2C_FREQ=50000)	     71(71)	       0(0)	     41(41)	   239(239)	     0(0)	     0(0)	     0(0)	
 +dsi_pwm:PWMLite                                           	       8(8)	       0(0)	       6(6)	       2(2)	     0(0)	     0(0)	     0(0)	
 +u_bilinear_interpolation:bilinear_interpolation(C_SRC_IMG_WIDTH=640,C_SRC_IMG_HEIGHT=480)	 1117(1014)	      30(2)	   645(603)	 1722(1633)	     0(0)	    59(0)	   28(28)	
  +u1_my_bram_ip_red:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[3].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
  +u2_my_bram_ip_red:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
   +u_efx_bram:efx_bram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_2	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +genblk1.tdpram_inst:efx_true_dual_port_ram_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +brams:dpram_wrapper_mwm_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +scan_row.row[0].column[0].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[1].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
      +scan_row.row[0].column[2].bram:dpbram_primitive_53cbbce291d545bfba3aa82564aaf8d7_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
